topology,pitch_mm,layout_parameter_mm,sweep_variable,failure_type,drc_violations,drc_notes,total_route_length_mm,longest_route_mm,crossings,min_route_clearance_mm,is_feasible,optimization_cost_mm,cost_function
linear,0.9,0.9,chain_neighbor_pitch_mm,build_failure,1,Build failed: ValueError: need at least one array to concatenate,,,,,False,inf,minimize total_route_length_mm subject to drc_violations == 0
linear,1.2,1.2,chain_neighbor_pitch_mm,none,0,PASS,1.4000000000000004,0.3500000000000001,0.0,0.828,True,1.4000000000000004,minimize total_route_length_mm subject to drc_violations == 0
linear,1.5,1.5,chain_neighbor_pitch_mm,none,0,PASS,2.6,0.6500000000000001,0.0,0.828,True,2.6,minimize total_route_length_mm subject to drc_violations == 0
linear,1.8,1.8,chain_neighbor_pitch_mm,none,0,PASS,3.7999999999999994,0.95,0.0,0.828,True,3.7999999999999994,minimize total_route_length_mm subject to drc_violations == 0
linear,2.1,2.1,chain_neighbor_pitch_mm,none,0,PASS,5.0,1.25,0.0,0.8279999999999998,True,5.0,minimize total_route_length_mm subject to drc_violations == 0
linear,2.5,2.5,chain_neighbor_pitch_mm,none,0,PASS,6.600000000000001,1.6500000000000004,0.0,0.8279999999999994,True,6.600000000000001,minimize total_route_length_mm subject to drc_violations == 0
linear,2.8,2.8,chain_neighbor_pitch_mm,drc_violation,16,Q1/pad_top: edge keepout | Q1/pad_bot: edge keepout | Q1/rect_pk: edge keepout | Q1/a_connector_pad: edge keepout | Q1/b_connector_pad: edge keepout | Q1/b_wire: edge keepout | Q1/b_wire_sub: edge keepout | Q1/rect_jj: edge keepout | Q5/pad_top: edge keepout | Q5/pad_bot: edge keepout | Q5/rect_pk: edge keepout | Q5/a_connector_pad: edge keepout | Q5/b_connector_pad: edge keepout | Q5/a_wire: edge keepout | Q5/a_wire_sub: edge keepout | Q5/rect_jj: edge keepout,7.799999999999999,1.95,0.0,0.8279999999999998,False,inf,minimize total_route_length_mm subject to drc_violations == 0
star,0.9,0.9,star_hub_to_leaf_radius_mm,drc_violation,4,Q1/Q2: pocket gap -0.014mm < 0.3mm | Q1/Q3: pocket gap -0.014mm < 0.3mm | Q1/Q4: pocket gap -0.014mm < 0.3mm | Q1/Q5: pocket gap -0.014mm < 0.3mm,13.128637061435917,3.2821592653589793,0.0,0.2,False,inf,minimize total_route_length_mm subject to drc_violations == 0
star,1.2,1.2,star_hub_to_leaf_radius_mm,drc_violation,4,Q1/Q2: pocket gap 0.199mm < 0.3mm | Q1/Q3: pocket gap 0.199mm < 0.3mm | Q1/Q4: pocket gap 0.199mm < 0.3mm | Q1/Q5: pocket gap 0.199mm < 0.3mm,3.0966370614359175,0.7741592653589794,0.0,0.368,False,inf,minimize total_route_length_mm subject to drc_violations == 0
star,1.5,1.5,star_hub_to_leaf_radius_mm,none,0,PASS,3.3563185307179584,0.8390796326794896,0.0,0.368,True,3.3563185307179584,minimize total_route_length_mm subject to drc_violations == 0
star,1.8,1.8,star_hub_to_leaf_radius_mm,none,0,PASS,5.052318530717959,1.2630796326794897,0.0,0.368,True,5.052318530717959,minimize total_route_length_mm subject to drc_violations == 0
star,2.1,2.1,star_hub_to_leaf_radius_mm,none,0,PASS,6.748318530717959,1.6870796326794897,0.0,0.368,True,6.748318530717959,minimize total_route_length_mm subject to drc_violations == 0
star,2.5,2.5,star_hub_to_leaf_radius_mm,none,0,PASS,9.012318530717957,2.2530796326794893,0.0,0.368,True,9.012318530717957,minimize total_route_length_mm subject to drc_violations == 0
star,2.8,2.8,star_hub_to_leaf_radius_mm,none,0,PASS,10.708318530717957,2.6770796326794892,0.0,0.368,True,10.708318530717957,minimize total_route_length_mm subject to drc_violations == 0
