topology,workload,meander_density,n_edges,max_degree,total_route_length_mm,longest_route_mm,crossings,drc_violations,drc_notes,crosstalk_proxy,workload_mismatch,min_est_qw_freq_ghz,avg_est_qw_freq_ghz,input_pitch_mm,norm_total_route_length_mm,norm_longest_route_mm,norm_crossings,norm_drc_violations,norm_crosstalk_proxy,norm_workload_mismatch,cost
ring,GHZ,0,5,2,5.500000000000001,1.1000000000000003,0,0,PASS,0.0,0.5,27.815854198286235,27.81585419828624,1.1,0.06984126984126988,7.578314161263864e-17,0.0,0.0,0.0,0.3333333333333333,0.030634920634920654
linear,GHZ,0,4,2,4.4,1.1,0,0,PASS,0.0,1.5,27.81585419828624,27.81585419828624,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.05
ring,GHZ,0,5,2,6.500000000000001,1.3000000000000003,0,0,PASS,0.0,0.5,23.536492013934506,23.53649201393451,1.3,0.1333333333333334,0.06825938566552904,0.0,0.0,0.0,0.3333333333333333,0.0535722411831627
ring,GHZ,1,5,2,6.050000000000001,1.2100000000000004,0,0,PASS,0.25,0.5,25.287140180260213,25.287140180260216,1.1,0.10476190476190479,0.03754266211604105,0.0,0.0,0.15625,0.3333333333333333,0.06668794693645379
linear,GHZ,0,4,2,5.2,1.3,0,0,PASS,0.0,1.5,23.53649201393451,23.53649201393451,1.3,0.05079365079365079,0.06825938566552897,0.0,0.0,0.0,1.0,0.0703976380085595
ring,GHZ,0,5,2,7.499999999999999,1.5,0,0,PASS,0.0,0.5,20.398293078743244,20.398293078743244,1.5,0.19682539682539676,0.13651877133105794,0.0,0.0,0.0,0.3333333333333333,0.0765095617314047
linear,GHZ,1,4,2,4.840000000000001,1.2100000000000002,0,0,PASS,0.2,1.5,25.287140180260216,25.287140180260216,1.1,0.027936507936507964,0.03754266211604097,0.0,0.0,0.125,1.0,0.07996870090470774
linear,GHZ,0,4,2,6.0,1.5,0,0,PASS,0.0,1.5,20.398293078743244,20.398293078743244,1.5,0.10158730158730157,0.13651877133105794,0.0,0.0,0.0,1.0,0.09079527601711901
ring,GHZ,1,5,2,7.150000000000001,1.4300000000000004,0,0,PASS,0.25,0.5,21.39681092175864,21.39681092175864,1.3,0.17460317460317468,0.11262798634812293,0.0,0.0,0.15625,0.3333333333333333,0.09191899953952004
star,GHZ,0,4,4,4.4,1.1,0,0,PASS,1.0,0.0,27.81585419828624,27.81585419828624,1.1,0.0,0.0,0.0,0.0,0.625,0.0,0.09375
