total_route_length_mm,longest_route_mm,crossings,min_route_clearance_mm,drc_violations,drc_notes,topology,layout_parameter_mm,is_feasible,optimization_cost_mm
1.6,0.40000000000000013,0,0.828,0,PASS,linear,1.25,True,1.6
1.0999999999999996,0.27499999999999997,0,0.828,4,Q1/Q2: pocket gap 0.275mm < 0.3mm | Q2/Q3: pocket gap 0.275mm < 0.3mm | Q3/Q4: pocket gap 0.275mm < 0.3mm | Q4/Q5: pocket gap 0.275mm < 0.3mm,linear,1.125,False,inf
1.3499999999999996,0.33749999999999997,0,0.828,0,PASS,linear,1.1875,True,1.3499999999999996
1.2249999999999996,0.30624999999999997,0,0.828,0,PASS,linear,1.15625,True,1.2249999999999996
1.1624999999999996,0.29062499999999997,0,0.828,4,Q1/Q2: pocket gap 0.291mm < 0.3mm | Q2/Q3: pocket gap 0.291mm < 0.3mm | Q3/Q4: pocket gap 0.291mm < 0.3mm | Q4/Q5: pocket gap 0.291mm < 0.3mm,linear,1.140625,False,inf
1.1937499999999996,0.29843749999999997,0,0.828,4,Q1/Q2: pocket gap 0.298mm < 0.3mm | Q2/Q3: pocket gap 0.298mm < 0.3mm | Q3/Q4: pocket gap 0.298mm < 0.3mm | Q4/Q5: pocket gap 0.298mm < 0.3mm,linear,1.1484375,False,inf
1.2093749999999996,0.30234374999999997,0,0.828,0,PASS,linear,1.15234375,True,1.2093749999999996
1.2093749999999996,0.30234374999999997,0,0.828,0,PASS,linear,1.15234375,True,1.2093749999999996
3.096637061435917,0.7741592653589793,0,0.368,0,PASS,star,1.4500000000000002,True,3.096637061435917
3.096637061435917,0.7741592653589793,0,0.368,0,PASS,star,1.375,True,3.096637061435917
3.096637061435917,0.7741592653589793,0,0.368,0,PASS,star,1.3375,True,3.096637061435917
3.096637061435917,0.7741592653589793,0,0.368,4,Q1/Q2: pocket gap 0.294mm < 0.3mm | Q1/Q3: pocket gap 0.294mm < 0.3mm | Q1/Q4: pocket gap 0.294mm < 0.3mm | Q1/Q5: pocket gap 0.294mm < 0.3mm,star,1.31875,False,inf
3.096637061435917,0.7741592653589793,0,0.368,0,PASS,star,1.328125,True,3.096637061435917
3.096637061435917,0.7741592653589793,0,0.368,4,Q1/Q2: pocket gap 0.299mm < 0.3mm | Q1/Q3: pocket gap 0.299mm < 0.3mm | Q1/Q4: pocket gap 0.299mm < 0.3mm | Q1/Q5: pocket gap 0.299mm < 0.3mm,star,1.3234375,False,inf
3.096637061435917,0.7741592653589793,0,0.368,0,PASS,star,1.328125,True,3.096637061435917
